Apex Retail — Retention KPI Navigation Map,,,,,,,,,,
"KPIs by navigation area, with refresh cadence, type (B / LE / LA / G), plain detail, an explanation, why it matters to the business case, the deck's target where stated, and the formula.",,,,,,,,,,
Navigation area,Primary user,KPI name,Refresh cadence,Type,Detail (plain),What the KPI is (explanation),Why it matters (business case),Target (from deck),Formula,Source system(s)
Command Center,All,Churn rate vs target,Daily,B,23.8% against the <14% goal,"Share of customers who leave over a year, shown against the program goal.",The headline problem — 28% is 3x the retail norm and the whole program exists to cut it.,< 14%,(customers lost in period ÷ customers at period start) × 100,Shopify + CRM
Command Center,All,Redemption rate vs target,Daily,B,19% against the >35% goal,"Share of enrolled loyalty members who actually redeem a reward, vs goal.",The scorecard on the $2.1M platform — 0% redemption meant it changed no behaviour.,> 35%,(members redeeming ≥1 reward in 90 days ÷ enrolled members) × 100,Yotpo
Command Center,All,Revenue-at-risk ticker,Real-time,B,Live $ vs the $14.2M reference,Live dollar estimate of annual revenue tied to customers currently at high risk.,Turns risk into money leadership feels; anchors urgency against the $14.2M lost.,—,Σ (annual value of each customer currently scored High-risk),Shopify + CRM
Command Center,All,Avg campaign launch time,Near-real-time,LE,"Signal → live, target <2 min",Average time from a churn signal firing to a retention campaign going live.,The timing fix — the old 4–7 day lag meant the window shut before anyone acted.,< 2 min,mean( timestamp(campaign live) − timestamp(signal detected) ),GA + Klaviyo
Command Center,All,Offer personalisation rate,Daily,LE,"71%, toward >85%",Share of offers matched to a customer's actual signals rather than a blanket coupon.,The generic 10% voucher is why offers were ignored; relevance is what makes people stay.,> 85%,(offers matched to customer's signal profile ÷ total offers sent) × 100,Scoring engine + Klaviyo
Command Center,All,Live risk-band counts + trend,Near-real-time,LE,High / Med / Low vs prior period,"Count of customers in High / Medium / Low risk bands, vs the prior period.",The at-a-glance pulse — tells the team where the book is heading right now.,—,"count(customers) grouped by band (High 71–100, Med 41–70, Low 0–40); trend = this period − prior",Scoring engine
Command Center,All,'Signals firing now' feed,Real-time,LE,Newly triggered threshold crossings,Real-time stream of customers newly crossing the composite-score threshold.,Makes detection visible and immediate — the opposite of finding out days later.,—,"count(customers whose composite score crossed threshold in last 24h), streamed as events",Scoring engine / GA
Command Center,All,Pending approvals + SLA timer,Real-time,G,"# awaiting sign-off, oldest wait",Number of briefs awaiting human sign-off and the oldest wait time.,Guards the human-in-the-loop gate from becoming the new bottleneck.,—,count(briefs where status = pending); oldest wait = max(now − brief created time),Audit log
Command Center,All,System-health strip,Real-time,G,6 connectors green / amber / red,Live status of all six source connectors (green / amber / red).,"If a source silently drops, the score is computed on partial data and quietly misleads.",—,"per connector: green if last-sync < 15 min, amber < 60 min, red ≥ 60 min or error",All 6 connectors
At-Risk Queue,Analyst / Ops,Composite churn score,Near-real-time,LE,"0–100 per customer, drives rank",A single 0–100 risk score built from all six systems' signals.,The core invention — one number no single system could produce; it drives the ranking.,Real-time,Σ (signal weight × normalised signal value 0–1) × 100  — see 'Composite Score Model',All 6 (scoring engine)
At-Risk Queue,Analyst / Ops,Total at-risk LTV,Per-customer event,B,The '× value' in the ranking,Combined lifetime value of every customer currently in the queue.,The 'value' half of risk x value — focuses effort on customers worth saving.,—,Σ (lifetime value of each customer in the queue),Shopify + CRM
At-Risk Queue,Analyst / Ops,Predicted at-risk inflow (30d),Daily,LE,"517, +6% — staffing signal",Forecast of how many customers will become high-risk in the next 30 days.,"Lets the team staff for what's coming, not just work the current backlog.",—,model forecast of count(customers expected to cross High threshold in next 30 days),Model
At-Risk Queue,Analyst / Ops,Risk-band distribution,Near-real-time,LE,High / Med / Low split,Split of the queue across High / Medium / Low score bands.,Shows the shape of demand so triage and offers can be prioritised.,—,count(queue customers) grouped by score band,Scoring engine
At-Risk Queue,Analyst / Ops,Retention save rate,Quarterly (90-day),B,43% of contacted,Share of contacted at-risk customers still retained 90 days later.,"The bottom-line proof the intervention actually works, not just fires fast.",—,(at-risk customers retained 90 days after contact ÷ at-risk customers contacted) × 100,Klaviyo + Shopify
At-Risk Queue,Analyst / Ops,Queue throughput (cleared today),Daily,G,Keeps the queue from backing up,Customers actioned today vs customers added to the queue today.,Early warning that the queue is silently growing faster than it's worked.,—,count(customers actioned today) ÷ count(added to queue today),Audit log
Customer 360,Analyst / DRI,Composite score + band,Near-real-time,LE,91/100 HIGH,This customer's 0–100 score and its risk band.,"Anchors the single-customer story in one comparable, cited number.",Real-time,"the weighted composite formula, computed for this customer",All 6 (scoring engine)
Customer 360,Analyst / DRI,Session-drop %,Per-customer event,LE,−60% in 30 days,Change in this customer's web sessions vs the prior period.,The earliest signal — browsing collapse precedes churn by 2–3 weeks.,—,(sessions last 30d − sessions prior 30d) ÷ sessions prior 30d × 100,Google Analytics
Customer 360,Analyst / DRI,Redemption gap,Per-customer event,LE,0 in 8 weeks,How long since this customer last redeemed a loyalty reward.,Zero redemption was the single strongest churn signal in the source data.,—,"days since last redemption, or count(redemptions in window)",Yotpo
Customer 360,Analyst / DRI,AOV change,Per-customer event,LA,−34%,Change in this customer's average order value vs their baseline.,Falling spend and discount dependency signal margin erosion before churn.,—,(recent avg order value − baseline AOV) ÷ baseline AOV × 100,Shopify
Customer 360,Analyst / DRI,Email open rate,Per-customer event,LA,8.2%,Share of emails this customer opens.,Engagement collapse shows here first — a mentally-churned customer stops opening.,—,(emails opened ÷ emails delivered) × 100,Klaviyo
Customer 360,Analyst / DRI,Open-ticket age,Per-customer event,LA,6 days,Days this customer's oldest unresolved support ticket has been open.,An unresolved ticket before churn is a proven precursor invisible to the CRM.,—,now − oldest unresolved ticket created date,Zendesk
Customer 360,Analyst / DRI,CRM-vs-composite divergence,Near-real-time,G,CRM 72 'healthy' vs composite 91 HIGH,Flag when the CRM rates a customer healthy but the composite says high-risk.,This is the whole thesis — the CRM scored a churner 72/100 'healthy'.,—,flag when CRM health score ≥ 70 AND composite score ≥ 71,CRM + scoring engine
Retention Brief,Analyst / DRI,Recommended offer + confidence,Near-real-time,LE,Offer matched to signal + tier,"The offer the agent recommends for this customer, with a confidence level.",Turns the score into an action a human can approve in one click.,—,rule/model: score band × dominant signal × customer tier → offer; confidence = model probability,Scoring engine
Retention Brief,Analyst / DRI,Composite score breakdown,Near-real-time,LE,Each signal's contribution,Each signal's contribution to this customer's total score.,"Makes the score explainable, so the human trusts and can challenge it.",—,"per signal: (weight × normalised value), shown as its share of the total score",Scoring engine
Retention Brief,Analyst / DRI,Every signal source-cited,Near-real-time,G,"'[GA]', '[Yotpo]' traceability",Whether every signal in the brief names the system it came from.,Traceability is what makes the brief defensible and auditable.,100%,citation coverage = (signals with a named source ÷ signals used) × 100  — target 100%,Audit log
Retention Brief,Analyst / DRI,Projected save probability / EV,Near-real-time,LE,"Why this offer, this customer",Expected value of the offer: save probability x LTV minus offer cost.,Ensures the recommended action is worth more than it costs.,$180–$420,expected value = P(save | offer) × customer LTV − offer cost,Model + Shopify
Campaign & Outreach,Analyst / Marketing,Time to intervention,Near-real-time,LE,"Signal → live, <2 min",Time from signal detected to campaign live.,Acting within the window is what converts early warning into a save.,< 2 min,timestamp(campaign live) − timestamp(signal detected),GA + Klaviyo
Campaign & Outreach,Analyst / Marketing,Offer personalisation / relevance,Daily,LE,71% → >85%,Share of sent offers matched to the customer's signal profile.,Relevant offers get opened and used; generic ones get ignored.,> 85%,(offers matched to signal profile ÷ total offers sent) × 100,Scoring engine + Klaviyo
Campaign & Outreach,Analyst / Marketing,Campaign performance,Weekly,LA,Did it land,"Open, click and redeem rates for retention campaigns.","Confirms the outreach actually landed, not just that it was sent.",—,open / click / redeem rate — each (action count ÷ delivered) × 100,Klaviyo + Yotpo
Campaign & Outreach,Analyst / Marketing,Retention save rate,Quarterly (90-day),B,Did they stay,Share of contacted at-risk customers still retained 90 days later.,"The bottom-line proof the intervention actually works, not just fires fast.",—,(contacted at-risk retained 90d ÷ contacted at-risk) × 100,Klaviyo + Shopify
Campaign & Outreach,Analyst / Marketing,Offer fatigue / unsubscribe rate,Weekly,G,Over-contact backfire,Unsubscribes and opt-outs following retention contact.,Over-contacting at-risk customers can cause the very churn you're preventing.,—,(unsubscribes + opt-outs after retention contact ÷ retention contacts) × 100,Klaviyo
Impact & ROI,Finance / Exec / DRI,Annual churn rate,Monthly,B,28% → <14%,Share of customers lost over a year.,The core outcome the business case is judged on.,< 14%,(customers lost in year ÷ customers at year start) × 100,Shopify + CRM
Impact & ROI,Finance / Exec / DRI,Revenue protected / year,Monthly,B,→ $7M+,Annual revenue kept by reducing churn.,Translates the churn win into the dollars that justify the $2.1M spend.,> $7M,(baseline churn % − current churn %) × avg annual revenue per customer × customer base,Shopify + CRM (finance input)
Impact & ROI,Finance / Exec / DRI,Loyalty redemption rate,Quarterly (90-day),B,0% → >35%,Share of members redeeming a reward within 90 days.,Proof the loyalty platform is finally changing behaviour.,> 35%,(members redeeming ≥1 reward in 90 days ÷ enrolled members) × 100,Yotpo
Impact & ROI,Finance / Exec / DRI,Retention save rate,Quarterly (90-day),B,> 40%,Share of contacted at-risk customers still retained 90 days later.,"The bottom-line proof the intervention actually works, not just fires fast.",—,(contacted at-risk retained 90d ÷ contacted at-risk) × 100,Klaviyo + Shopify
Impact & ROI,Finance / Exec / DRI,Customer CSAT (loyalty),Quarterly (90-day),B,54 → 80+,Average post-interaction satisfaction score for loyalty.,A softer outcome that shows retention isn't bought at the cost of experience.,80+ / 100,mean(post-interaction survey scores),Survey
Impact & ROI,Finance / Exec / DRI,Early-warning lead time,Quarterly (90-day),LE,→ 14 days,Days of warning between first signal and confirmed churn.,The differentiator — 14 days of runway is what makes cross-system worth it.,14 days,date(churn confirmed) − date(first signal crossed threshold),GA + Yotpo + Zendesk
Impact & ROI,Finance / Exec / DRI,Forecast churn (Q-end),Weekly,LE,"20.3%, on track",Model projection of churn rate at quarter end.,Tells leadership whether the program is on track before the quarter closes.,—,model projection of churn rate at period end,Model
Impact & ROI,Finance / Exec / DRI,Customers lost (90d),Weekly,LA,Trend,Count of customers churned over the last 90 days.,The lagging count that confirms the rate is genuinely improving.,—,count(customers with no purchase in 180 days) over the last 90-day window,Shopify + CRM
Impact & ROI,Finance / Exec / DRI,AOV decline (at-risk),Weekly,LA,−34% → recover,Average order-value decline across at-risk customers.,Confirms whether spend erosion (a churn precursor) is reversing.,—,(current avg order value − baseline AOV) ÷ baseline AOV × 100,Shopify
Impact & ROI,Finance / Exec / DRI,Analyst hrs / segment,Weekly,LA,4–8 hrs → <5 min,Human hours to produce a retention brief per segment.,The efficiency lever — 4–8 hrs to under 5 min frees the team to act.,< 5 min,total analyst hours ÷ segment runs,Process audit
Impact & ROI,Finance / Exec / DRI,Incrementality vs holdout,Quarterly (90-day),G,"Proven, not assumed",Retention lift of a helped group vs an untreated control group.,"The honest proof that offers caused the saves, not luck — makes '$7M' real.",—,retention rate(treated group) − retention rate(control holdout),Shopify + audit
Impact & ROI,Finance / Exec / DRI,Margin cost per save,Monthly,G,Not buying loyalty unaffordably,Discount and reward cost divided by customers saved.,Stops the team 'winning' churn with discounts that cost more than they save.,—,(Σ discount + reward cost of retention offers) ÷ customers saved,Yotpo + Shopify (margin input)
Admin & Governance,Admin,Connector / system health,Real-time,G,"Uptime, last-sync, staleness","Uptime, last-sync and staleness for each of the six connectors.",Integration health is the foundation — bad data silently corrupts every score.,—,uptime % = (successful syncs ÷ attempted syncs) × 100; staleness = now − last successful sync,All 6 connectors
Admin & Governance,Admin,Scoring precision,Quarterly (90-day),G,"Of those flagged High, how many churned","Of customers flagged high-risk, the share that actually churned.",Answers 'does the score work?' — precision stops false alarms.,—,true positives ÷ (true positives + false positives),Scoring engine + Shopify
Admin & Governance,Admin,Scoring recall,Quarterly (90-day),G,"Of churners, how many were flagged","Of customers who churned, the share the model flagged.",The other half of accuracy — recall stops missed churners.,—,true positives ÷ (true positives + false negatives),Scoring engine + Shopify
Admin & Governance,Admin,False-alarm rate,Quarterly (90-day),G,"Healthy customers wrongly flagged, <15%",Share of high-risk flags that did not churn.,Too many false alarms train the whole base to expect discounts.,—,(flagged High who did NOT churn ÷ total flagged High) × 100,Scoring engine + Shopify
Admin & Governance,Admin,Override rate + reasons,Daily,G,How often humans disagree,"How often humans override the agent, with logged reasons.",A trust signal and a free feedback loop for improving the model.,—,(briefs overridden ÷ briefs reviewed) × 100,Audit log
Admin & Governance,Admin,Audit-trail completeness,Daily,G,100% of actions cited,Share of actions logged with full source citations.,Compliance and defensibility — the old process had no audit trail at all.,100%,(actions with full source citation ÷ total actions) × 100,Audit log
Admin & Governance,Admin,Model / weight version + drift,Weekly,G,"What's scoring, has it moved",Which scoring version is live and whether its output has drifted.,Governance — ensures the score stays valid as customer behaviour shifts.,—,current score distribution vs baseline (e.g. population stability index),Scoring engine
